,date,track,race_number,race_name,market_id,selection_id,selection_name,model_odds,market_name,result,matched_volume,bsp,best_back_1m,best_back_5m,win,model_prob,market_odds
76,2021-02-18,GERALDTON,3,R3 2125m Hcap,1.179420561,8391573,2. Proxy,6.29,R3 2125m Hcap,LOSER,7828.46,4.8,4.7,4.8,0,0.1589825119236884,0.20833333333333334
77,2021-02-18,GERALDTON,3,R3 2125m Hcap,1.179420561,23083570,1. Strong Heart,2.1,R3 2125m Hcap,LOSER,30629.74,2.18,2.12,2.32,0,0.47619047619047616,0.4587155963302752
78,2021-02-18,GERALDTON,4,R4 1413m CL1,1.179420563,38521611,3. Bush Icon,4.77,R4 1413m CL1,LOSER,11737.25,6.44,4.9,5.4,0,0.20964360587002098,0.15527950310559005
79,2021-02-18,GERALDTON,4,R4 1413m CL1,1.179420563,27628677,2. Delago Dehero,9.18,R4 1413m CL1,WINNER,6911.35,6.75,8.4,7.4,1,0.10893246187363835,0.14814814814814814
80,2021-02-18,GERALDTON,4,R4 1413m CL1,1.179420563,35672605,1. Time Starts Now,4.95,R4 1413m CL1,LOSER,8470.42,8.2,4.4,7.8,0,0.20202020202020202,0.12195121951219513
81,2021-02-18,GERALDTON,4,R4 1413m CL1,1.179420563,23201727,4. Cinnamon Run,42.69,R4 1413m CL1,LOSER,2585.81,27.16,50,28,0,0.0234246896228625,0.036818851251840944
82,2021-02-18,GERALDTON,4,R4 1413m CL1,1.179420563,38521612,5. Thewayiwalk,3.49,R4 1413m CL1,LOSER,19666.12,3.98,4.5,3.95,0,0.28653295128939826,0.25125628140703515
83,2021-02-18,GERALDTON,4,R4 1413m CL1,1.179420563,19432649,6. The Crown Prince,10.11,R4 1413m CL1,LOSER,13851.56,5.0,7,5.2,0,0.09891196834817013,0.2
84,2021-02-18,GERALDTON,4,R4 1413m CL1,1.179420563,31562673,7. Bandalera Miss,15.26,R4 1413m CL1,LOSER,6155.9,12.47,11.5,13,0,0.0655307994757536,0.08019246190858059
85,2021-02-18,GERALDTON,4,R4 1413m CL1,1.179420563,19087889,8. My China Doll,189.39,R4 1413m CL1,LOSER,361.77,101.62,90,95,0,0.005280109826284387,0.0098405825624877
86,2021-02-18,GERALDTON,5,R5 1413m CL1,1.179420565,25462899,1. Foxhood,3.17,R5 1413m CL1,LOSER,26009.54,3.45,3.35,3.15,0,0.31545741324921134,0.2898550724637681
87,2021-02-18,GERALDTON,5,R5 1413m CL1,1.179420565,27334379,2. Ginger Willie,7.51,R5 1413m CL1,LOSER,6461.15,6.82,7.4,6.8,0,0.13315579227696406,0.14662756598240467
88,2021-02-18,GERALDTON,5,R5 1413m CL1,1.179420565,22821372,3. Casual Trade,15.44,R5 1413m CL1,WINNER,6298.68,18.45,17.5,19,1,0.06476683937823835,0.05420054200542006
89,2021-02-18,GERALDTON,5,R5 1413m CL1,1.179420565,28209210,4. Haystacks,13.48,R5 1413m CL1,LOSER,5947.76,21.92,15.5,21,0,0.07418397626112759,0.04562043795620438
90,2021-02-18,GERALDTON,5,R5 1413m CL1,1.179420565,28386634,5. A Steamy Affair,9.74,R5 1413m CL1,LOSER,2260.84,12.8,10,13,0,0.1026694045174538,0.078125
