market_id,event_date,country,track,market_name,selection_id,selection_name,result,bsp,matched_volume, best_back_1m, best_back_5m 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996039,2. Hidden Spring,LOSER,5.13,27142.78,3.9,4.4 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996040,3. Big Bad Boris,LOSER,25.01,1227.8399999999997,19.5,30 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996041,4. Sams A Natural,LOSER,4.90,41864.77000000002,5.3,4.7 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,24823714,5. Dusty Haze,LOSER,85.00,368.43,100,110 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,27532063,6. Beating Drum,WINNER,5.15,9226.259999999993,7.4,6 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996042,7. Mando Rock,LOSER,8.80,5225.970000000001,9.2,8.8 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37456753,8. Belasyn,LOSER,46.00,875.2,60,44 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,28579105,9. Big Talk,LOSER,9.42,3086.4300000000003,7.8,9.4 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,25503643,10. The Waiting Man,LOSER,21.00,3212.0899999999992,15.5,20 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37585166,11. Whitsunday Lad,REMOVED,,0,None,None 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37056522,12. Coalbank Cavalry,REMOVED,,0,None,None 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996043,13. Ovidius,REMOVED,,0,None,None 
1.177444543,2021-01-01 02:54:00,AU,Ipswich,R1 800m Mdn,37996044,14. Chubascos,REMOVED,,0,None,None 
