market_id,event_date,country,track,market_name,selection_id,selection_name,result,bsp,matched_volume
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,19260233,14. Port Of Jeddah,LOSER,44.77,428.74 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,37995148,15. Chico,LOSER,32.00,413.06 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,16491398,16. Magic Mystery,REMOVED,,0 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,27638981,17. Honour Your Offer,REMOVED,,0 
1.177443851,2021-01-01 03:21:00,AU,Inverell,R4 1400m CL1,37995149,18. Good As Gold,REMOVED,,0 
1.177442870,2021-01-01 03:15:00,AU,Burrumbeet,R2 1350m Mdn,7439584,2. Natural Courage,LOSER,135.18,286.78 
1.177442870,2021-01-01 03:15:00,AU,Burrumbeet,R2 1350m Mdn,37995841,3. Cianna,LOSER,19.50,1010.2600000000002 
1.177442870,2021-01-01 03:15:00,AU,Burrumbeet,R2 1350m Mdn,37995842,4. Enchanted Euro,LOSER,8.20,4901.020000000001 
1.177442870,2021-01-01 03:15:00,AU,Burrumbeet,R2 1350m Mdn,37995843,5. Jungle Bell,LOSER,85.00,210.45000000000002 
1.177442870,2021-01-01 03:15:00,AU,Burrumbeet,R2 1350m Mdn,28335621,6. Leica Secondchance,LOSER,30.00,1080.76 
1.177442870,2021-01-01 03:15:00,AU,Burrumbeet,R2 1350m Mdn,37995844,7. Something Grand,LOSER,4.33,8239.349999999997 
1.177442870,2021-01-01 03:15:00,AU,Burrumbeet,R2 1350m Mdn,37235290,8. Yesmeena,LOSER,2.03,26499.909999999993 
1.177442870,2021-01-01 03:15:00,AU,Burrumbeet,R2 1350m Mdn,37995845,9. Little Red Fox,WINNER,12.00,4867.529999999999 
1.177442870,2021-01-01 03:15:00,AU,Burrumbeet,R2 1350m Mdn,37995840,1. Just Hang Up,REMOVED,,0 
1.177442870,2021-01-01 03:15:00,AU,Burrumbeet,R2 1350m Mdn,28249877,10. Evolving Evie,REMOVED,,0 
1.177442870,2021-01-01 03:15:00,AU,Burrumbeet,R2 1350m Mdn,37995846,11. Under His Eye,REMOVED,,0 
1.177442870,2021-01-01 03:15:00,AU,Burrumbeet,R2 1350m Mdn,27838683,12. Tornado Flame,REMOVED,,0 
1.177442928,2021-01-01 03:25:00,AU,Flemington,R1 1000m 2yo,37995523,1. Andalusia,LOSER,13.66,8719.609999999999 
1.177442928,2021-01-01 03:25:00,AU,Flemington,R1 1000m 2yo,3492347,2. Dauntless,LOSER,9.98,8977.180000000004 
1.177442928,2021-01-01 03:25:00,AU,Flemington,R1 1000m 2yo,37995524,3. Frost Flowers,WINNER,7.00,20817.610000000004 
1.177442928,2021-01-01 03:25:00,AU,Flemington,R1 1000m 2yo,37995525,4. I Am Enchanting,LOSER,18.79,4044.520000000001 
1.177442928,2021-01-01 03:25:00,AU,Flemington,R1 1000m 2yo,37995526,5. Joseylin,LOSER,2.98,140876.56999999992 
1.177442928,2021-01-01 03:25:00,AU,Flemington,R1 1000m 2yo,37995527,6. Loud Attraction,LOSER,72.81,1335.9099999999999 
1.177442928,2021-01-01 03:25:00,AU,Flemington,R1 1000m 2yo,37995528,7. Taylas Moment,LOSER,15.00,7124.819999999993 
1.177442928,2021-01-01 03:25:00,AU,Flemington,R1 1000m 2yo,37995529,8. Tiz My Bay,REMOVED,,0 
1.177442928,2021-01-01 03:25:00,AU,Flemington,R1 1000m 2yo,37995530,9. Translation,LOSER,6.82,19916.890000000003 
1.177442928,2021-01-01 03:25:00,AU,Flemington,R1 1000m 2yo,37995531,10. Wandas Legacy,LOSER,18.80,3649.0700000000006 
1.177442928,2021-01-01 03:25:00,AU,Flemington,R1 1000m 2yo,37995532,11. Wedges Are Back,REMOVED,,0 
1.177444545,2021-01-01 03:29:00,AU,Ipswich,R2 1350m Mdn,37996047,1. Battaglia,LOSER,10.85,8933.790000000006 
1.177444545,2021-01-01 03:29:00,AU,Ipswich,R2 1350m Mdn,37996048,2. Kungflu,LOSER,65.36,498.52 
